"","Year","Result","Course","Count"
"1",2019,"Pass ","CSC1010H",48
"2",2019,"Pass ","CSC1011H",17
"3",2019,"Pass ","CSC1015F",556
"4",2019,"Pass ","CSC1016S",424
"5",2019,"Pass ","CSC1017F",299
"6",2019,"Pass ","CSC1019F",0
"7",2019,"Pass ","CSC2001F",221
"8",2019,"Pass ","CSC2002S",200
"9",2019,"Pass ","CSC2004Z",182
"10",2019,"Pass ","CSC3002F",151
"11",2019,"Pass ","CSC3003S",142
"12",2019,"Did Not Finish","CSC1010H",2
"13",2019,"Did Not Finish","CSC1011H",3
"14",2019,"Did Not Finish","CSC1015F",10
"15",2019,"Did Not Finish","CSC1016S",41
"16",2019,"Did Not Finish","CSC1017F",27
"17",2019,"Did Not Finish","CSC1019F",0
"18",2019,"Did Not Finish","CSC2001F",2
"19",2019,"Did Not Finish","CSC2002S",13
"20",2019,"Did Not Finish","CSC2004Z",7
"21",2019,"Did Not Finish","CSC3002F",5
"22",2019,"Did Not Finish","CSC3003S",11
"23",2019,"Fail","CSC1010H",27
"24",2019,"Fail","CSC1011H",6
"25",2019,"Fail","CSC1015F",110
"26",2019,"Fail","CSC1016S",96
"27",2019,"Fail","CSC1017F",51
"28",2019,"Fail","CSC1019F",0
"29",2019,"Fail","CSC2001F",41
"30",2019,"Fail","CSC2002S",32
"31",2019,"Fail","CSC2004Z",40
"32",2019,"Fail","CSC3002F",17
"33",2019,"Fail","CSC3003S",28
"34",2020,"Pass ","CSC1010H",33
"35",2020,"Pass ","CSC1011H",29
"36",2020,"Pass ","CSC1015F",906
"37",2020,"Pass ","CSC1016S",491
"38",2020,"Pass ","CSC1017F",22
"39",2020,"Pass ","CSC1019F",123
"40",2020,"Pass ","CSC2001F",292
"41",2020,"Pass ","CSC2002S",256
"42",2020,"Pass ","CSC2004Z",0
"43",2020,"Pass ","CSC3002F",164
"44",2020,"Pass ","CSC3003S",165
"45",2020,"Did Not Finish","CSC1010H",4
"46",2020,"Did Not Finish","CSC1011H",1
"47",2020,"Did Not Finish","CSC1015F",14
"48",2020,"Did Not Finish","CSC1016S",57
"49",2020,"Did Not Finish","CSC1017F",2
"50",2020,"Did Not Finish","CSC1019F",1
"51",2020,"Did Not Finish","CSC2001F",8
"52",2020,"Did Not Finish","CSC2002S",10
"53",2020,"Did Not Finish","CSC2004Z",1
"54",2020,"Did Not Finish","CSC3002F",2
"55",2020,"Did Not Finish","CSC3003S",9
"56",2020,"Fail","CSC1010H",17
"57",2020,"Fail","CSC1011H",5
"58",2020,"Fail","CSC1015F",13
"59",2020,"Fail","CSC1016S",147
"60",2020,"Fail","CSC1017F",1
"61",2020,"Fail","CSC1019F",1
"62",2020,"Fail","CSC2001F",19
"63",2020,"Fail","CSC2002S",61
"64",2020,"Fail","CSC2004Z",0
"65",2020,"Fail","CSC3002F",2
"66",2020,"Fail","CSC3003S",8
"67",2021,"Pass ","CSC1010H",31
"68",2021,"Pass ","CSC1011H",10
"69",2021,"Pass ","CSC1015F",847
"70",2021,"Pass ","CSC1016S",467
"71",2021,"Pass ","CSC1017F",27
"72",2021,"Pass ","CSC1019F",122
"73",2021,"Pass ","CSC2001F",287
"74",2021,"Pass ","CSC2002S",225
"75",2021,"Pass ","CSC2004Z",504
"76",2021,"Pass ","CSC3002F",173
"77",2021,"Pass ","CSC3003S",158
"78",2021,"Did Not Finish","CSC1010H",1
"79",2021,"Did Not Finish","CSC1011H",1
"80",2021,"Did Not Finish","CSC1015F",22
"81",2021,"Did Not Finish","CSC1016S",30
"82",2021,"Did Not Finish","CSC1017F",9
"83",2021,"Did Not Finish","CSC1019F",2
"84",2021,"Did Not Finish","CSC2001F",6
"85",2021,"Did Not Finish","CSC2002S",13
"86",2021,"Did Not Finish","CSC2004Z",8
"87",2021,"Did Not Finish","CSC3002F",12
"88",2021,"Did Not Finish","CSC3003S",6
"89",2021,"Fail","CSC1010H",18
"90",2021,"Fail","CSC1011H",14
"91",2021,"Fail","CSC1015F",102
"92",2021,"Fail","CSC1016S",196
"93",2021,"Fail","CSC1017F",7
"94",2021,"Fail","CSC1019F",16
"95",2021,"Fail","CSC2001F",96
"96",2021,"Fail","CSC2002S",131
"97",2021,"Fail","CSC2004Z",78
"98",2021,"Fail","CSC3002F",34
"99",2021,"Fail","CSC3003S",52
"100",2022,"Pass ","CSC1010H",70
"101",2022,"Pass ","CSC1011H",16
"102",2022,"Pass ","CSC1015F",748
"103",2022,"Pass ","CSC1016S",514
"104",2022,"Pass ","CSC1017F",19
"105",2022,"Pass ","CSC1019F",137
"106",2022,"Pass ","CSC2001F",334
"107",2022,"Pass ","CSC2002S",274
"108",2022,"Pass ","CSC2004Z",235
"109",2022,"Pass ","CSC3002F",179
"110",2022,"Pass ","CSC3003S",167
"111",2022,"Did Not Finish","CSC1010H",0
"112",2022,"Did Not Finish","CSC1011H",0
"113",2022,"Did Not Finish","CSC1015F",15
"114",2022,"Did Not Finish","CSC1016S",13
"115",2022,"Did Not Finish","CSC1017F",2
"116",2022,"Did Not Finish","CSC1019F",7
"117",2022,"Did Not Finish","CSC2001F",7
"118",2022,"Did Not Finish","CSC2002S",31
"119",2022,"Did Not Finish","CSC2004Z",5
"120",2022,"Did Not Finish","CSC3002F",10
"121",2022,"Did Not Finish","CSC3003S",10
"122",2022,"Fail","CSC1010H",29
"123",2022,"Fail","CSC1011H",2
"124",2022,"Fail","CSC1015F",158
"125",2022,"Fail","CSC1016S",127
"126",2022,"Fail","CSC1017F",23
"127",2022,"Fail","CSC1019F",15
"128",2022,"Fail","CSC2001F",79
"129",2022,"Fail","CSC2002S",111
"130",2022,"Fail","CSC2004Z",114
"131",2022,"Fail","CSC3002F",27
"132",2022,"Fail","CSC3003S",54
"133",2023,"Pass ","CSC1010H",71
"134",2023,"Pass ","CSC1011H",24
"135",2023,"Pass ","CSC1015F",759
"136",2023,"Pass ","CSC1016S",437
"137",2023,"Pass ","CSC1017F",32
"138",2023,"Pass ","CSC1019F",148
"139",2023,"Pass ","CSC2001F",332
"140",2023,"Pass ","CSC2002S",308
"141",2023,"Pass ","CSC2004Z",317
"142",2023,"Pass ","CSC3002F",230
"143",2023,"Pass ","CSC3003S",231
"144",2023,"Did Not Finish","CSC1010H",0
"145",2023,"Did Not Finish","CSC1011H",0
"146",2023,"Did Not Finish","CSC1015F",10
"147",2023,"Did Not Finish","CSC1016S",4
"148",2023,"Did Not Finish","CSC1017F",7
"149",2023,"Did Not Finish","CSC1019F",11
"150",2023,"Did Not Finish","CSC2001F",1
"151",2023,"Did Not Finish","CSC2002S",6
"152",2023,"Did Not Finish","CSC2004Z",6
"153",2023,"Did Not Finish","CSC3002F",1
"154",2023,"Did Not Finish","CSC3003S",1
"155",2023,"Fail","CSC1010H",23
"156",2023,"Fail","CSC1011H",22
"157",2023,"Fail","CSC1015F",160
"158",2023,"Fail","CSC1016S",177
"159",2023,"Fail","CSC1017F",20
"160",2023,"Fail","CSC1019F",10
"161",2023,"Fail","CSC2001F",104
"162",2023,"Fail","CSC2002S",124
"163",2023,"Fail","CSC2004Z",101
"164",2023,"Fail","CSC3002F",13
"165",2023,"Fail","CSC3003S",39
